d_MPars              d_meter              z                    vel                  t                    H                   
0.0000000            0.0000000e+00        0.0000               0.0000000e+00        -0.0000000e+00       NaN                 
36.1400000           1.1151639e+24        0.0080               2.3887466e+06        -3.7197863e+15       2.1420588e-18       
55.7200000           1.7193395e+24        0.0120               3.5759260e+06        -5.7350994e+15       2.0798253e-18       
66.9900000           2.0670954e+24        0.0140               4.1677176e+06        -6.8950881e+15       2.0162193e-18       
63.1000000           1.9470626e+24        0.0160               4.7583107e+06        -6.4947016e+15       2.4438407e-18       
145.8800000          4.5013865e+24        0.0280               8.2767150e+06        -1.5015009e+16       1.8387035e-18       
236.5900000          7.3004046e+24        0.0450               1.3187415e+07        -2.4351529e+16       1.8063950e-18       
215.7700000          6.6579665e+24        0.0500               1.4615328e+07        -2.2208586e+16       2.1951639e-18       
289.7300000          8.9401337e+24        0.0520               1.5184409e+07        -2.9821076e+16       1.6984543e-18       
335.7400000          1.0359854e+25        0.0640               1.8573922e+07        -3.4556753e+16       1.7928749e-18       
390.8400000          1.2060062e+25        0.0800               2.3026895e+07        -4.0228038e+16       1.9093512e-18       
463.4500000          1.4300573e+25        0.1010               2.8756998e+07        -4.7701576e+16       2.0108983e-18       
660.6900000          2.0386763e+25        0.1240               3.4885118e+07        -6.8002922e+16       1.7111651e-18       
1577.6100000         4.8679958e+25        0.3000               7.6898437e+07        -1.6237886e+17       1.5796734e-18       
2766.9400000         8.5378847e+25        0.3800               9.3352258e+07        -2.8479318e+17       1.0933886e-18       
2546.8300000         7.8586962e+25        0.4300               1.0287797e+08        -2.6213789e+17       1.3090972e-18       
2937.6500000         9.0646407e+25        0.4300               1.0287797e+08        -3.0236387e+17       1.1349371e-18       
2831.3900000         8.7367566e+25        0.4400               1.0471668e+08        -2.9142683e+17       1.1985761e-18       
3147.7500000         9.7129416e+25        0.4800               1.1185837e+08        -3.2398886e+17       1.1516426e-18       
3467.3700000         1.0699186e+26        0.5000               1.1530479e+08        -3.5688643e+17       1.0776969e-18       
3681.2900000         1.1359274e+26        0.5700               1.2674708e+08        -3.7890460e+17       1.1158027e-18       
3999.4500000         1.2341013e+26        0.6200               1.3436234e+08        -4.1165189e+17       1.0887464e-18       
7244.3600000         2.2353759e+26        0.9700               1.7694935e+08        -7.4564115e+17       7.9158655e-19       
